 ;93;4073;blue;PART;Plate, Round 1 x 1 Straight Side
 ;93;4070;L bluish gray;PART;Brick, Modified 1 x 1 with Headlight
 ;372;64567;L bluish gray;PART;Minifig, Weapon Lightsaber Hilt Straight
 ;93;54200;L bluish gray;PART;Slope 30 1 x 1 x 2/3
 ;372;15712;L bluish gray;PART;Tile, Modified 1 x 1 with Clip - Rounded Edges
 ;93;52107;red;PART;Brick, Modified 1 x 2 with Studs on 2 Sides
 ;186;3070b;red;PART;Tile 1 x 1 with Groove
 ;93;54200;T-black;PART;Slope 30 1 x 1 x 2/3
 ;186;3005;white;PART;Brick 1 x 1
 ;93;4733;white;PART;Brick, Modified 1 x 1 with Studs on 4 Sides
 ;93;15573;white;PART;"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder &#40;Jumper&#41;"
 ;372;3839b;white;PART;Plate, Modified 1 x 2 with Handles - Flat Ends, Low Attachment
